"datasetId","datasetName","region","delay","universe","fieldCount","matrixCount","vectorCount","groupCount","symbolCount","csvFile","jsonFile"
"pv71","Europe Relation Dataset","DEU","1","TOP500","8","0","8","0","0","pv71.csv","pv71.json"
"quant_factor_lib","Multi-Domain Quantitative Factor Library","DEU","1","TOP500","289","0","289","0","0","quant_factor_lib.csv","quant_factor_lib.json"
"risk60","Securities Lending Insight Data","DEU","1","TOP500","5","0","5","0","0","risk60.csv","risk60.json"
"risk68","Forecast Data","DEU","1","TOP500","5","5","0","0","0","risk68.csv","risk68.json"
"risk71","Daily Specific Return Profiling Dataset","DEU","1","TOP500","10","10","0","0","0","risk71.csv","risk71.json"
"risk72","Specific return of extended factors","DEU","1","TOP500","31","25","6","0","0","risk72.csv","risk72.json"
"risk88","Other Multi-Factor Risk Models","DEU","1","TOP500","1","1","0","0","0","risk88.csv","risk88.json"
"search_interest","Rapid Search Interest Signals","DEU","1","TOP500","3","0","3","0","0","search_interest.csv","search_interest.json"
"sentiment27","Website Popularity Rankings","DEU","1","TOP500","18","0","14","0","4","sentiment27.csv","sentiment27.json"
"sentiment33","Sentiment Data by NLP","DEU","1","TOP500","255","0","255","0","0","sentiment33.csv","sentiment33.json"
"sentiment7","Webpage Views  Data","DEU","1","TOP500","3","0","3","0","0","sentiment7.csv","sentiment7.json"
"shortinterest3","Securities Lending Files Data","DEU","1","TOP500","25","0","25","0","0","shortinterest3.csv","shortinterest3.json"
"socialmedia12","Sentiment Data for Equity","DEU","1","TOP500","18","14","4","0","0","socialmedia12.csv","socialmedia12.json"
"socialmedia39","Investor views","DEU","1","TOP500","1","0","1","0","0","socialmedia39.csv","socialmedia39.json"
"stock_cluster_dl","Deep Learning Stock Clusters","DEU","1","TOP500","5","5","0","0","0","stock_cluster_dl.csv","stock_cluster_dl.json"
"stock_search_trends","US Stock Search Trend Matrix","DEU","1","TOP500","6","6","0","0","0","stock_search_trends.csv","stock_search_trends.json"
"techindi_model","Deep Learning Technical Indicator Returns","DEU","1","TOP500","399","399","0","0","0","techindi_model.csv","techindi_model.json"
"workforce_flow_skills","Global Workforce Flow and Skills Analytics","DEU","1","TOP500","10","0","10","0","0","workforce_flow_skills.csv","workforce_flow_skills.json"
